id,category,split,query,gold_answer,candidates,candidate_ids,candidate_ranks,candidate_sources,target_need,target_actions,semantic_sufficiency,notes
023-b20260803-r3-0-00178-0-00178-q0,single-hop,train,When did Sam start working on his thesis project?,I started working on it in January 2025.,"Sam aims to finish the experiments by mid-March. || Sam and Dr. Lee completed the main part of their project and are refining the algorithms. || Sam and Dr. Lee identified additional use cases for their project in data-intensive industries like finance and healthcare, and are exploring integration with AI for predictive analytics. || Sam and Dr. Lee optimized the load balancing for their project, improving its performance with larger datasets. || Sam and Dr. Lee plan to submit their research paper to a major conference by March. || Sam and Dr. Lee tested their system on the cluster at the university lab and achieved positive results under heavy load conditions. || Sam had a meeting with Dr. Lee on 2026-01-28 to discuss his progress on the distributed systems project. || Sam has been working on the algorithm design since the meeting with Dr. Lee and should be ready to test it by the end of this week. || Sam has completed the introduction chapter and is working on the method chapter. || Sam has finished the literature review and started on the experimental design for his thesis. || Sam has settled on five key parameters for his experiments: network size, message latency, bandwidth, packet loss, and node failure rate. || Sam is using a custom network simulator called NetSim for his experiments. || Sam is working on a thesis about improving fault tolerance in distributed networks using machine learning techniques. || Sam needs to present his findings at the conference in March. || Sam plans to finalize his presentation slides and notes by the middle of next week. || Sam plans to have four chapters in his thesis: introduction, method, implementation, and conclusion. || Sam plans to implement a new algorithm by February 15th. || Sam plans to run 20 different setups, each with a unique combination of the five key parameters. || Sam plans to start coding prototypes for integrating machine learning into the system next week. || Sam's thesis focuses on using neural networks to predict node failures in real-time. || Sam started working on his thesis project in January 2025.","[""01KZ3PWZKDYQEAYSAKZS12ZGSG"", ""01KZ3PXKVRHRYN2DP84HB0G4WS"", ""01KZ3PXKVVRYR5S6QC55NXF2ZG"", ""01KZ3PXKVSZ31E2Y8CMWY4YXXW"", ""01KZ3PXKVWD3RTQR2K66NNWNKG"", ""01KZ3PXKVTHYBKE0E6FFBRAD8H"", ""01KZ3PX8RCXG3PT5F0HSKW5SYS"", ""01KZ3PX8RFZM4FNZZS8K68FA64"", ""01KZ3PWR02VGWXWAFDQB28BRRZ"", ""01KZ3PWZK95KJSCRJS5B2CX4ZN"", ""01KZ3PWZKBKESM4WNGKPY6TP1G"", ""01KZ3PWZKAFDWYGZGZF9DAM15N"", ""01KZ3PWQZXVB6F1JDKSADQGAZP"", ""01KZ3PX8RHCX36FG0075YBE3M3"", ""01KZ3PX8RHSAX0ABTDAEBG5KGR"", ""01KZ3PWR01X1G0E38S0G4VY7JS"", ""01KZ3PX8RE344TCNXD482Z5085"", ""01KZ3PWZKCEF6SDNYW20G5TSJ3"", ""01KZ3PX8RG7KQNCNE3KM27P7Z9"", ""01KZ3PWQZYAD4AMAWPGZZABXPS"", ""01KZ3PWR00EAR1MXMJN0XYWH7G""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[[""01KZ3PWR04PZB892CRHFXJXY0Z""], [""01KZ3PX8RM65HKPV1A6R5DF7NS""], [""01KZ3PX8RNSZ9X05GYX14TFDNC""], [""01KZ3PX8RM5GT8FG4P2E1VCFX8""], [""01KZ3PX8RP125VFYRKFQ4XTQ59""], [""01KZ3PX8RN5RHVZ7M0A73R06J6""], [""01KZ3PWZKDX3BC4JKR9BB8XE7Z""], [""01KZ3PWZKE47C8TS0VDQBFSRMV""], [""01KZ3PWF1NF1KG07KPXNZ28KE0""], [""01KZ3PWR031GCP2DDA1X7XQ19Z""], [""01KZ3PWR03QTK34NKSXB3KCEVM""], [""01KZ3PWR03ZKY6EW5EEKTBHZBE""], [""01KZ3PWF1K89B4QT7QEYCZ8A3D"", ""01KZ3PWF1MHV8VSFHH5S7R6VVF""], [""01KZ3PWZKFV5W4T2W4JFSA1ER6""], [""01KZ3PWZKFV5W4T2W4JFSA1ER6""], [""01KZ3PWF1N68K44RTNRXEHT6PC""], [""01KZ3PWZKEDQ3QRSY47J3EGCZP""], [""01KZ3PWR04WBVAKTT7F167S68Y""], [""01KZ3PWZKEA9DRW5H6FW1GNX84""], [""01KZ3PWF1M9CK7C541KQFHTDTP""], [""01KZ3PWF1NM8MHWHEJNMNK84JD""]]","{""entities"": [""Sam""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3PWQZYAD4AMAWPGZZABXPS"", ""source_id"": ""01KZ3PWF1M9CK7C541KQFHTDTP""}, {""kind"": ""KEEP"", ""candidate_id"": ""01KZ3PWR00EAR1MXMJN0XYWH7G"", ""source_id"": ""01KZ3PWF1NM8MHWHEJNMNK84JD""}]",pass,
023-b20260803-r3-0-00081-0-00081-q0,single-hop,train,What are the key family members going on the July vacation to Europe?,"The family members going on the July vacation are the user, their parents, and their two cousins.",Alex finalized the itinerary for a July vacation to Europe.,"[""01KZ3KCWFNA7TKYMZKG8Q3S0EX""]",[0],"[[""01KZ3KCJD1WSSQRY719KGPZZYP""]]","{""entities"": [""Europe"", ""July""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": {""kind"": ""entity"", ""entity"": ""Europe"", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""entity:Europe""}}",[],pass,
023-b20260803-r3-0-00159-0-00159-q0,single-hop,train,When is Sarah's birthday?,Sarah’s birthday is on April 28th.,"A small gathering will be planned for Sarah’s birthday at home, themed after her favorite Japanese cartoon. || Invitations for Sarah’s birthday party will be sent out early. || Sarah’s birthday is on April 28, 2026.","[""01KZ3P66NPRYY6DJYQZHZJ9G8B"", ""01KZ3P66NQ9KR4FGZD2KY2NEFY"", ""01KZ3P66NN06Z37NE74ESTZK0X""]","[0, 1, 2]","[[""01KZ3P5YG05DEZZZKCA0H8FBTY""], [""01KZ3P5YG05R0HFKBC4B05S62T""], [""01KZ3P5YFZBKQWEPBTB5PZ6TA9"", ""01KZ3P5YG01EZCP969668JC0C5"", ""01KZ3P5YG05DEZZZKCA0H8FBTY""]]","{""entities"": [""Sarah's""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3P66NN06Z37NE74ESTZK0X"", ""source_id"": ""01KZ3P5YG05DEZZZKCA0H8FBTY""}]",pass,
023-b20260803-r3-0-00187-0-00187-q0,single-hop,train,When is Sarah's birthday?,April,"Alex is planning a surprise party for Sarah at their place. || Sarah, Alex's cousin, is visiting Paris during the trip. || Sarah is bringing her kids for the family gathering in Paris. || Sarah’s birthday is in April.","[""01KZ3Q658JJVCDMEJC57ECJJVX"", ""01KZ3Q658FY65AEAZT5MB7797W"", ""01KZ3Q658G4AEJV2TGDPR8YMMV"", ""01KZ3Q658JTADQB12F51Y6MGKY""]","[0, 1, 2, 3]","[[""01KZ3Q5XSETA4NE6XCK9EYPHMM""], [""01KZ3Q5XSD5Z3YYF6DQ8M8NBCD""], [""01KZ3Q5XSD5Z3YYF6DQ8M8NBCD""], [""01KZ3Q5XSDGNS1823BKBSPCCDH""]]","{""entities"": [""Sarah's""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3Q658JTADQB12F51Y6MGKY"", ""source_id"": ""01KZ3Q5XSDGNS1823BKBSPCCDH""}]",pass,
023-b20260803-r3-0-00092-0-00092-q0,single-hop,train,When did Dana plan to add more nodes to her Kubernetes cluster?,by the end of this year,"All servers in Dana's lab run Ubuntu 22.04 LTS. || Dana added three new servers to the home-lab project last week. || Dana added two servers to her home-lab project last week. || Dana decided to upgrade the network infrastructure to 10GbE this month. || Dana experienced a delay in the home-lab project due to hardware issues. || Dana has a Dell R740 server with 24 cores and 256GB of RAM. || Dana has been using the Dell R740 server since 2024. || Dana has spent more than planned on the home-lab project budget, but within manageable limits. || Dana is considering Zabbix and Prometheus for the new monitoring system, starting with Zabbix. || Dana is planning to set up a new monitoring system. || Dana is setting up a small Kubernetes cluster for microservices development. || Dana is using a semi-automated system for applying security patches on the home-lab project. || Dana plans to expand the Kubernetes cluster to four nodes by the end of 2026. || Dana uses the Dell R740 server for running development environments and testing new software.","[""01KZ3KRZ7G90YPQJVSQNPFYERQ"", ""01KZ3KSP5RTJAWCWM0ZMSXS7R3"", ""01KZ3KSE5JQN4BM8QMWWDE1ED0"", ""01KZ3KSP5TBQNW0HDYMMF2MCTH"", ""01KZ3KSE5QSPZRKM2XW4NJ60X1"", ""01KZ3KRZ79KGWEWVZXWQ0SE1N4"", ""01KZ3KRZ7BR0DYBW2MYXD9R3B4"", ""01KZ3KSE5N7DQR0PYVERQW1G1K"", ""01KZ3KSP5YP8SH2SPH71FFDKGG"", ""01KZ3KSP5W5NA20MB7XKBQ8GS4"", ""01KZ3KRZ7E0NKRP77ABT08H0J6"", ""01KZ3KSE5RK535YGBJHBKNEY5T"", ""01KZ3KRZ7F5BH6CM9H7MZX8ZY0"", ""01KZ3KRZ7DEP1C3P13F9MZDXV6""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[[""01KZ3KRH7A24N5AGR72BPD77F7""], [""01KZ3KSE5TWBBRNTCKS79E0F1H""], [""01KZ3KS5AWRH6BBZ8CX9AGMNAB""], [""01KZ3KSE5V16NDNX8M8HC1MWXW""], [""01KZ3KS5AWC40RE0WRXSM2TFRD""], [""01KZ3KRH74DZMV32KX6M1E0H01"", ""01KZ3KRH74KQGKXC6TW9KAPM80""], [""01KZ3KRH767CNVJB7GNHZ3Q24V""], [""01KZ3KS5AWY5XM794ADTSAG5CF""], [""01KZ3KSE5WDTYHPM920QC6610M""], [""01KZ3KSE5WSBVXWFBPWDP6AZ0E""], [""01KZ3KRH77RGEREBF4A1PZRNBZ""], [""01KZ3KS5AXPNS5C7HS0RZVFR86""], [""01KZ3KRH79YAGN7TB955ANARMW""], [""01KZ3KRH767CNVJB7GNHZ3Q24V""]]","{""entities"": [""Dana"", ""Kubernetes""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3KRZ7E0NKRP77ABT08H0J6"", ""source_id"": ""01KZ3KRH77RGEREBF4A1PZRNBZ""}, {""kind"": ""KEEP"", ""candidate_id"": ""01KZ3KRZ7F5BH6CM9H7MZX8ZY0"", ""source_id"": ""01KZ3KRH79YAGN7TB955ANARMW""}]",pass,
023-b20260803-r3-0-00009-0-00009-q0,single-hop,train,How many machines are in Sam's cluster?,5,"Sam aims to submit a draft of his thesis by April 15, 2026. || Sam anticipates finishing his thesis by the end of this year. || Sam expects to complete the current section of his thesis by the following week. || Sam finished the section on consistency models for his thesis by 2026-03-22. || Sam has been working on the Vector Clock algorithm for his thesis. || Sam has chosen to focus on the implementation of the Raft algorithm by Diego Ongaro and John Ousterhout. || Sam has found interesting papers on fault tolerance strategies in distributed systems. || Sam is currently focusing on the impact of network latency on distributed systems in his thesis. || Sam is implementing the Vector Clock algorithm in Java. || Sam is testing his implementation on a cluster of 5 machines. || Sam is trying to understand the trade-offs between different consensus protocols better. || Sam is using Google's Spanner and Amazon's DynamoDB as case studies for network latency in distributed systems. || Sam is working on a thesis about improving data consistency in distributed databases. || Sam is working on the chapter about distributed consensus algorithms for his thesis. || Sam needs to consider how consensus protocols handle network partitions. || Sam plans to scale his cluster as he gathers more data. || Sam revised the chapter on peer-to-peer networks to focus on latest protocols and security measures. || Sam's research focuses on algorithms to handle write conflicts in distributed databases. || Sam's thesis aims to demonstrate improved performance under high write loads compared to traditional methods. || Sam's thesis also aims to show how his approach handles network partitions better. || Sam updated his thesis section on distributed hash tables last week.","[""01KZ3GTHDDHCH3EZPHS3C48PRK"", ""01KZ3GT7ZFHFP5G9BW5M9MRNNT"", ""01KZ3GTHDFG0DBEVN9K663P7N6"", ""01KZ3GTHD7PXHCSV9A0XAPE9RC"", ""01KZ3GT7Z2N3J8FFEX79BFAWM4"", ""01KZ3GTTDK5CVB9ZV783NZX3QT"", ""01KZ3GTTDP6EW4F2HK6BEFFFWD"", ""01KZ3GTHD8110ZTSHW1M6DZFZW"", ""01KZ3GT7Z4EPHS6CJS60W1KAQG"", ""01KZ3GT7Z6Q2RHWEE2S7GK6V1W"", ""01KZ3GTTDQF7XY0QNPQDGRM41A"", ""01KZ3GTHDA9V37AGZD99P58E8T"", ""01KZ3GT7YXSXVRADEKDD9QKRGM"", ""01KZ3GTTDHJ5J5QZGZYPPDX5BJ"", ""01KZ3GTTDSJSMSAXD3JFQNZVAM"", ""01KZ3GT7Z8YHJ24D6AF7CK4WGZ"", ""01KZ3GV1VCM8SE304W81CGH9JV"", ""01KZ3GT7YZSQRYG3VGGFGRTYQT"", ""01KZ3GT7ZBXQPX1FKB6MEAX2F3"", ""01KZ3GT7ZCXWESMV4T6BWSSMH5"", ""01KZ3GV1V8MZG1VTM0QVA20H93""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[[""01KZ3GT7ZPM9S8MY5EMZPMB9E6""], [""01KZ3GSSRS3QY8MCWDM7WV4MBH""], [""01KZ3GT7ZQ8F8V5K2SPW3QG0A5""], [""01KZ3GT7ZJTS1WBKYZ04ZSYMYV""], [""01KZ3GSSRR7S8X5QGMQZF09TQV""], [""01KZ3GTHDK65N51EN2WNQ03RGK""], [""01KZ3GTHDNFMD0GENZ828E868T""], [""01KZ3GT7ZJTS1WBKYZ04ZSYMYV""], [""01KZ3GSSRRFZDSJRSY01FNGSHB""], [""01KZ3GSSRRFMRA27ADB2271A6D""], [""01KZ3GTHDPN96PAS37Z9TR4GYH""], [""01KZ3GT7ZMBT01EB9JJH7WK1Y2""], [""01KZ3GSSRQ6V2PEXBAXJ94E9K5""], [""01KZ3GTHDJTHK5TTE9SS029H4M""], [""01KZ3GTHDPZZHEEP0KYSH3X040""], [""01KZ3GSSRRFMRA27ADB2271A6D""], [""01KZ3GTTDTGX6SFV93MTDYNNHS""], [""01KZ3GSSRQJY83SM37XZY7QRA9""], [""01KZ3GSSRSACQPW289GJSBPR7P""], [""01KZ3GSSRSACQPW289GJSBPR7P""], [""01KZ3GTTDTKQX9XCND40AQ9Q1C""]]","{""entities"": [""Sam's""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": true, ""count"": 5}, ""update_state"": """", ""gap"": null}",[],fail,gap漏标；应 KEEP 01KZ3GT7Z6Q2RHWEE2S7GK6V1W，候选直接给出 cluster 有 5 台机器。
023-b20260803-r3-0-00054-0-00054-q0,single-hop,train,What was the busiest day in the past year for Mei's restaurant and how many guests were there?,"The busiest day in the past year for Mei's restaurant was December 25th, 2025, with 150 guests.",Mei confirmed a booking for 30 guests on the 15th of this month for a private event. || Mei is still busy with the restaurant. || Mei signed a contract with Green Valley Farms for organic produce last month.,"[""01KZ3JF5JJNHDVKA0DPZ969RHY"", ""01KZ3JETJAH6XKTP22GZ2NQ5HJ"", ""01KZ3JF5JGPRVEZF9JHZ8QFPB6""]","[0, 1, 2]","[[""01KZ3JETJQ3YF4JTDKHZJ77T9N""], [""01KZ3JED2AC2RZTR9EE4X62J9K""], [""01KZ3JETJPY3M466EC3T0VB5VD""]]","{""entities"": [""Mei's""], ""time_constraints"": [""past year""], ""operands"": [], ""list_cardinality"": {""known"": true, ""count"": 25}, ""update_state"": """", ""gap"": {""kind"": ""time_range"", ""entity"": """", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""time:past year""}}",[],pass,
023-b20260803-r3-0-00106-0-00106-q0,single-hop,train,When is Lily's birthday party?,June 20th,"Alex's friend Mike's daughter, Lily, is having a birthday party on June 20th, 2026. || Alex's friend Mike's daughter, Lily, will host her birthday party at her house.","[""01KZ3M94CTD8GC65QNF2AYFPTT"", ""01KZ3M94CVBCFPB6MGBFYPYNVK""]","[0, 1]","[[""01KZ3M8RDDSG4MSB7AN76CM051""], [""01KZ3M8RDDSG4MSB7AN76CM051""]]","{""entities"": [""Lily's""], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": false, ""count"": 0}, ""update_state"": """", ""gap"": null}","[{""kind"": ""KEEP"", ""candidate_id"": ""01KZ3M94CTD8GC65QNF2AYFPTT"", ""source_id"": ""01KZ3M8RDDSG4MSB7AN76CM051""}]",pass,
023-b20260803-r3-0-00102-0-00102-q0,single-hop,train,How many guests are expected for the wedding booked on April 7th?,80,"Mei has a wedding booked for April 7th, 2026.","[""01KZ3M4D9C9331NYV6AT8B4G07""]",[0],"[[""01KZ3M4530PB8M3GNQDD0ZQEHM""]]","{""entities"": [""April""], ""time_constraints"": [""april 7""], ""operands"": [], ""list_cardinality"": {""known"": true, ""count"": 80}, ""update_state"": """", ""gap"": {""kind"": ""time_range"", ""entity"": """", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": ""time:april 7""}}",[],pass,
023-b20260803-r3-0-00087-0-00087-q0,single-hop,train,How many servers do you currently have in your server farm according to the initial conversation?,three,"Dana plans to update his servers every month, but sometimes he gets busy and it slips to every two months.","[""01KZ3KKN3N50CZVREJ062CEFS7""]",[0],"[[""01KZ3KKD64EWDCA5SVBKAG6NS0""]]","{""entities"": [], ""time_constraints"": [], ""operands"": [], ""list_cardinality"": {""known"": true, ""count"": 0}, ""update_state"": ""currently"", ""gap"": {""kind"": ""entity"", ""entity"": """", ""start"": null, ""end"": null, ""operand"": """", ""source_need"": """"}}",[],pass,
